id,state,country
1,Alberta,canada
2,Columbia Británica,canada
3,Manitoba,canada
4,Nuevo Brunswick,canada
5,Terranova y Labrador,canada
6,Nueva Escocia,canada
7,Nunavut,canada
8,Ontario,canada
9,Isla del Príncipe Eduardo,canada
10,Quebec,canada
11,Saskatchewan,canada
12,los Territorios del Noroeste,canada
13,Yukón,canada
14,Alabama,USA
15,Alaska,USA
16,Arizona,USA
17,Arkansas,USA
18,California,USA
19,Carolina del Norte,USA
20,Carolina del Sur,USA
21,Colorado,USA
22,Connecticut,USA
23,Dakota del Norte,USA
24,Dakota del Sur,USA
25,Delaware,USA
26,Florida,USA
27,Georgia,USA
28,Hawái9​,USA
29,Idaho,USA
30,Illinois,USA
31,Indiana,USA
32,Iowa,USA
33,Kansas,USA
34,Kentucky,USA
35,Luisiana10​,USA
36,Maine,USA
37,Maryland,USA
38,Massachusetts,USA
39,Míchigan13​,USA
40,Minnesota,USA
41,Misisipi14​,USA
42,Misuri15​,USA
43,Montana,USA
44,Nebraska,USA
45,Nevada,USA
46,Nueva Jersey17​,USA
47,Nueva York19​,USA
48,Nuevo Hampshire20​,USA
49,Nuevo México22​,USA
50,Ohio,USA
51,Oklahoma,USA
52,Oregón24​,USA
53,Pensilvania25​,USA
54,Rhode Island,USA
55,Tennessee,USA
56,Texas27​,USA
57,Utah,USA
58,Vermont,USA
59,Virginia,USA
60,Virginia Occidental,USA
61,Washington,USA
62,Wisconsin,USA
63,Wyoming,USA
64,Aguascalientes,México
65,Baja California,México
66,Baja California Sur,México
67,Campeche,México
68,Chiapas,México
69,Chihuahua,México
70,Ciudad de México,México
71,Coahuila de Zaragoza,México
72,Colima,México
73,Durango,México
74,Guanajuato,México
75,Guerrero,México
76,Hidalgo,México
77,Jalisco,México
78,Estado de México,México
79,Michoacán de Ocampo,México
80,Morelos,México
81,Nayarit,México
82,Nuevo León,México
83,Oaxaca,México
84,Puebla,México
85,Querétaro,México
86,Quintana Roo,México
87,San Luis Potosí,México
88,Sinaloa,México
89,Sonora,México
90,Tabasco,México
91,Tamaulipas,México
92,Tlaxcala,México
93,Veracruz de Ignacio de la Llave,México
94,Yucatán,México
95,Zacatecas,México
